상품명,가격,사진
"[매장픽업]  에밀리아나, 코얌 (레드와인)","55,000",sitem.ssgcdn.com/35/45/86/item/1000043864535_i1_232.jpg
루이 로드레 컬렉션 242,"137,940",sitem.ssgcdn.com/79/35/36/item/1000064363579_i1_232.jpg
에고메이,"25,200",sitem.ssgcdn.com/30/51/19/item/1000043195130_i1_232.jpg
[매장픽업]투핸즈 섹시 비스트 (레드와인),"43,000",sitem.ssgcdn.com/53/70/57/item/1000065577053_i1_232.jpg
프레스코발디 니포짜노 끼안티 리제르바,"34,200",sitem.ssgcdn.com/54/77/10/item/1000328107754_i1_232.jpg
"[매장픽업] 찰스 하이직, 브륏 리저브 375ml (샴페인)","72,000",sitem.ssgcdn.com/17/49/58/item/1000048584917_i1_232.jpg
[매장픽업]투핸즈 벨라스 가든 (레드와인),"99,000",sitem.ssgcdn.com/13/76/55/item/1000169557613_i1_232.jpg
[매장픽업] 슐로스 요하니스베르그 겔블락 쿠베아 (화이트와인),"45,000",sitem.ssgcdn.com/60/83/57/item/1000289578360_i1_232.jpg
"피오 체사레, 바롤로 모스코니","432,000",sitem.ssgcdn.com/16/22/36/item/1000064362216_i1_232.jpg
"텍스트북, 나파 카베르네 소비뇽","100,800",sitem.ssgcdn.com/76/18/58/item/1000048581876_i1_232.jpg
[매장픽업] 찰스 하이직 로제 리저브  NV,"153,000",sitem.ssgcdn.com/76/18/58/item/1000048581876_i2_232.jpg
투핸즈 아레스,"240,000",sitem.ssgcdn.com/69/27/07/item/1000066072769_i1_232.jpg
루이나 블랑 드 블랑,"160,970",sitem.ssgcdn.com/06/29/08/item/1000066082906_i1_232.jpg
페냐솔 블랑코 3L,"12,800",sitem.ssgcdn.com/24/54/13/item/1000051135424_i1_232.jpg
[매장픽업] 봄을 알리는 프리미엄 와인,"117,000",sitem.ssgcdn.com/24/54/13/item/1000051135424_i3_232.jpg
[매장픽업]앙드레 끌루에 상파뉴 실버 브뤼,"49,500",sitem.ssgcdn.com/99/66/64/item/1000289646699_i1_232.jpg
[매장픽업] 빈도로 프리미티보 디 만두리아,"126,000",sitem.ssgcdn.com/01/04/37/item/1000049370401_i1_232.jpg
[매장픽업] 당장페이 브뤼,"108,000",sitem.ssgcdn.com/01/04/37/item/1000049370401_i2_232.jpg
[레드와인] 도스 코파스 레드,"4,900",sitem.ssgcdn.com/83/22/49/item/1000319492283_i1_232.jpg
샤또 오 바따이에 2013,"80,100",sitem.ssgcdn.com/06/62/57/item/1000289576206_i1_232.jpg
"[매장픽업]  뱅상 지라르댕, 상트네 1erCru 르 보르가르 (레드와인)","100,000",sitem.ssgcdn.com/37/80/33/item/1000049338037_i1_232.jpg
오스본 포트 10년,"99,000",sitem.ssgcdn.com/97/20/58/item/1000065582097_i1_232.jpg
[매장픽업] 벤드 화이트 진판델  750ML (로제와인),"18,000",sitem.ssgcdn.com/93/31/03/item/1000044033193_i1_232.jpg
"[매장픽업] 아바지아, 허니문 모스카토 (스파클링와인)","10,800",sitem.ssgcdn.com/47/25/13/item/1000051132547_i1_232.jpg
"[매장픽업] 찰스 하이직, 브륏 리저브 1.5L (샴페인)","250,000",sitem.ssgcdn.com/47/25/13/item/1000051132547_i2_232.jpg
[매장픽업] 샤또 몽페라 화이트 (화이트와인),"27,000",sitem.ssgcdn.com/80/69/18/item/1000051186980_i1_232.jpg
[매장픽업] 유 원 프리미티보 만두리아,"22,500",sitem.ssgcdn.com/80/69/18/item/1000051186980_i2_232.jpg
콜럼비아 크레스트 H3 까베르네 소비뇽,"35,000",sitem.ssgcdn.com/30/57/54/item/1000045545730_i1_232.jpg
시데랄,"110,000",sitem.ssgcdn.com/00/30/61/item/1000082613000_i1_232.jpg
"[매장픽업] 샴페인 드라피에, 까르뜨 도르 브륏 NV","132,000",sitem.ssgcdn.com/28/87/81/item/1000293818728_i1_232.jpg
[매장픽업] 카스텔블랑 엑스트라 브륏  750ML (드라이스파클링와인),"28,800",sitem.ssgcdn.com/86/73/57/item/1000065577386_i1_232.jpg
까사  로호 마리모레나,"35,100",sitem.ssgcdn.com/66/88/09/item/1000051098866_i1_232.jpg
[매장픽업]지디 바이라 알베 바롤로 (레드와인),"58,500",sitem.ssgcdn.com/56/77/03/item/1000045037756_i1_232.jpg
"[매장픽업] 에밀리아나, 노바스 카베르네 소비뇽 (레드와인)","23,000",sitem.ssgcdn.com/30/41/54/item/1000280544130_i1_232.jpg
[매장픽업] 토마시 아마로네 델라 발폴리첼라 클라시코(레드와인),"200,000",sitem.ssgcdn.com/88/07/87/item/1000043870788_i1_232.jpg
[매장픽업] 베린저 메인앤바인 화이트 진판델,"31,500",sitem.ssgcdn.com/38/99/85/item/1000043859938_i1_232.jpg
[매장픽업] 베라짜노 키안티 클라시코(레드와인),"37,800",sitem.ssgcdn.com/38/99/85/item/1000043859938_i2_232.jpg
"[매장픽업] 찰스하이직, 블랑 드 블랑 (샴페인)","180,000",sitem.ssgcdn.com/81/12/00/item/1000051001281_i1_232.jpg
[매장픽업]  펜폴즈 맥스 쉬라즈(레드와인),"81,000",sitem.ssgcdn.com/25/79/47/item/1000063477925_i1_232.jpg
루이 로드레 크리스탈 브륏,"585,000",sitem.ssgcdn.com/74/67/84/item/1000043846774_i1_232.jpg
서브미션 까베르네소비뇽,"26,100",sitem.ssgcdn.com/74/67/84/item/1000043846774_i2_232.jpg
[매장픽업] 머드하우스 피노 그리 (화이트와인),"27,000",sitem.ssgcdn.com/84/83/88/item/1000054888384_i1_232.jpg
[매장픽업] 트라피체 핀카 라스 피에드라스 리미티드 에디션(레드와인),"108,000",sitem.ssgcdn.com/84/83/88/item/1000054888384_i2_232.jpg
[매장픽업] 마르셀 다이스 리크비르,"40,500",sitem.ssgcdn.com/66/92/69/item/1000048699266_i1_232.jpg
[매장픽업]  운두라가 파운더스 컬렉션 까베르네 소비뇽 (레드와인),"42,000",sitem.ssgcdn.com/15/41/49/item/1000319494115_i1_232.jpg
"[매장픽업] 비온디  산티, BdM DOCG 리제르바 2006 (레드와인)","1,980,000",sitem.ssgcdn.com/79/48/07/item/1000066074879_i1_232.jpg
"쓰리 스틱스, `프라이스 패밀리 에스테이트` 피노 누아","113,400",sitem.ssgcdn.com/77/52/85/item/1000043855277_i1_232.jpg
[매장픽업] 오이스터베이 소비뇽블랑(화이트와인),"58,500",sitem.ssgcdn.com/77/52/85/item/1000043855277_i2_232.jpg
[매장픽업] 산테로 피노 샤르도네 스푸만테(스파클링와인),"27,000",sitem.ssgcdn.com/33/88/64/item/1000043648833_i1_232.jpg
레큐아 화이트 포트,"22,500",sitem.ssgcdn.com/29/68/01/item/1000260016829_i1_232.jpg
[매장픽업]  엠 샤푸티에 라 시부아즈 꼬스띠에 님(레드와인),"36,000",sitem.ssgcdn.com/60/03/87/item/1000043870360_i1_232.jpg
[매장픽업]  마르께스 데 까사 콘차 에티케타 네그라(레드와인),"108,000",sitem.ssgcdn.com/63/13/37/item/1000049371363_i1_232.jpg
1865셀렉티드 까베르네 소비뇽&골프백 패키지,"49,500",sitem.ssgcdn.com/63/13/37/item/1000049371363_i2_232.jpg
"월터 핸젤, 뀌베 앨리스 피노 누아","176,400",sitem.ssgcdn.com/46/34/58/item/1000169583446_i1_232.jpg
[매장픽업] 알바로 팔라시오스 페탈로스 750ML (레드와인),"59,400",sitem.ssgcdn.com/22/74/84/item/1000043847422_i1_232.jpg
델라모뜨 로제,"117,000",sitem.ssgcdn.com/22/74/84/item/1000043847422_i2_232.jpg
레큐아 타우니 포트,"22,500",sitem.ssgcdn.com/07/28/85/item/1000043852807_i1_232.jpg
[매장픽업] 덕혼 패러덕스 750ML (레드와인),"121,500",sitem.ssgcdn.com/07/28/85/item/1000043852807_i2_232.jpg
[매장픽업] 루이라뚜르 피노누아(레드와인),"29,700",sitem.ssgcdn.com/26/92/52/item/1000327529226_i1_232.jpg
[매장픽업] 돈 막시미아노(레드와인),"162,000",sitem.ssgcdn.com/08/14/15/item/1000051151408_i1_232.jpg
코노수르 20배럴 피노누아,"55,000",sitem.ssgcdn.com/23/98/69/item/1000048699823_i1_232.jpg
푸나무 소비뇽 블랑,"32,000",sitem.ssgcdn.com/14/59/57/item/1000065575914_i1_232.jpg
[매장픽업]  아차발 페레 키메라 (레드와인),"62,100",sitem.ssgcdn.com/78/00/07/item/1000328070078_i1_232.jpg
[매장픽업]운두라가 브뤼 375ml,"5,400",sitem.ssgcdn.com/17/66/57/item/1000048576617_i1_232.jpg
[매장픽업]  미켈레 끼아를로 바르베라 다스띠 레 오르메(레드와인),"36,000",sitem.ssgcdn.com/41/82/48/item/1000318488241_i1_232.jpg
"[매장픽업] 파스쿠아, 일레븐 미닛 로제 (로제와인)","45,000",sitem.ssgcdn.com/82/64/52/item/1000327526482_i1_232.jpg
[매장픽업] 떼루뇨 카르미네르,"90,000",sitem.ssgcdn.com/10/68/79/item/1000050796810_i1_232.jpg
[매장픽업]피치니 끼안띠 375ml (레드와인),"6,210",sitem.ssgcdn.com/97/82/84/item/1000043848297_i1_232.jpg
투핸즈 더 보이 리슬링,"38,700",sitem.ssgcdn.com/97/82/84/item/1000043848297_i2_232.jpg
"[매장픽업] 로쉬 드 벨렌, 부르고뉴 피노누아 퀴베 리저브 (레드와인)","42,000",sitem.ssgcdn.com/40/34/58/item/1000043583440_i1_232.jpg
[매장픽업] 이기갈 꽁드리유 라 도리안 (화이트와인),"162,000",sitem.ssgcdn.com/40/34/58/item/1000043583440_i2_232.jpg
"[매장픽업]  마이펫, 쇼비뇽 블랑 (화이트와인)","22,500",sitem.ssgcdn.com/79/64/75/item/1000318756479_i1_232.jpg
[매장픽업]코노수르 레세르바 까베르네소비뇽 (레드와인),"20,000",sitem.ssgcdn.com/89/09/34/item/1000072340989_i1_232.jpg
[매장픽업] 탈로 프리미티보 디 만두리아,"126,000",sitem.ssgcdn.com/79/96/86/item/1000043869679_i1_232.jpg
[매장픽업]뻬스께라 레세르바 (레드와인),"54,000",sitem.ssgcdn.com/22/26/01/item/1000051012622_i1_232.jpg
[매장픽업]투핸즈 릴리스 가든 (레드와인),"99,000",sitem.ssgcdn.com/15/50/84/item/1000043845015_i1_232.jpg
[매장픽업] 다우 파인 토니 포트 750ML (레드와인),"34,200",sitem.ssgcdn.com/56/84/39/item/1000049398456_i1_232.jpg
부켈라 믹스드 블랙,"252,000",sitem.ssgcdn.com/56/84/39/item/1000049398456_i2_232.jpg
[매장픽업] 샴페인 꽁 드 라모뜨 브뤼 750ML (샴페인),"77,400",sitem.ssgcdn.com/11/88/29/item/1000082298811_i1_232.jpg
[매장픽업] 벨레 그로스 클락 앤 텔레폰 피노누아(레드와인),"99,000",sitem.ssgcdn.com/41/18/01/item/1000051011841_i1_232.jpg
폰토디 끼안티 클라시코 DOCG,"49,500",sitem.ssgcdn.com/90/71/53/item/1000317537190_i1_232.jpg
"[매장픽업]  파스쿠아, 프로세코 DOC 오드리 햅번 (스파클링와인)","35,100",sitem.ssgcdn.com/17/32/33/item/1000049333217_i1_232.jpg
샤또 라 라귄 2017,"103,500",sitem.ssgcdn.com/17/32/33/item/1000049333217_i2_232.jpg
[매장픽업] 프로즌 툰드라 비달 아이스와인 (화이트와인),"31,500",sitem.ssgcdn.com/49/27/11/item/1000049112749_i1_232.jpg
[매장픽업] 메디치 에르메테 페르멘토 (로제와인),"45,000",sitem.ssgcdn.com/27/44/62/item/1000063624427_i1_232.jpg
[매장픽업] 덕혼 멀롯 750ML (레드와인),"144,000",sitem.ssgcdn.com/14/09/01/item/1000051010914_i1_232.jpg
[매장픽업] 필리터리 비달 아이스와인 리져브 (화이트와인),"69,300",sitem.ssgcdn.com/01/05/29/item/1000082290501_i1_232.jpg
가야 프로미스,"85,000",sitem.ssgcdn.com/55/09/19/item/1000043190955_i1_232.jpg
발레벨보 모스카토 다스티,"28,000",sitem.ssgcdn.com/48/70/79/item/1000044797048_i1_232.jpg
뛰느방 베이비 배드 보이,"23,400",sitem.ssgcdn.com/47/52/57/item/1000048575247_i1_232.jpg
"[매장픽업] 임페리움 비니, 템플럼 시라 (레드와인)","10,000",sitem.ssgcdn.com/28/16/56/item/1000327561628_i1_232.jpg
[경기점 특가] 샤또 오 바따이에 2013,"76,500",sitem.ssgcdn.com/95/61/96/item/1000071966195_i1_232.jpg
[매장픽업] 루이자도 샤사뉴 몽라쉐  (화이트와인),"120,000",sitem.ssgcdn.com/96/68/69/item/1000048696896_i1_232.jpg
[매장픽업] 샤또 생 미셸 콜드 크릭 까베르네 소비뇽(레드와인),"120,000",sitem.ssgcdn.com/56/61/53/item/1000317536156_i1_232.jpg
버진 드 발랑드로 2017,"80,100",sitem.ssgcdn.com/01/83/39/item/1000049398301_i1_232.jpg
[매장픽업] 아스코니 리슬링 아이스와인 블루라벨,"63,000",sitem.ssgcdn.com/01/83/39/item/1000049398301_i2_232.jpg
[매장픽업] 보시오 트러플 헌터 모스카토 다스티 DOCG,"27,000",sitem.ssgcdn.com/52/17/24/item/1000085241752_i1_232.jpg
샤또 페리에르  17,"135,000",sitem.ssgcdn.com/59/72/85/item/1000043857259_i1_232.jpg
689 화이트 나파 밸리,"22,500",sitem.ssgcdn.com/59/72/85/item/1000043857259_i2_232.jpg
페냐솔 블랑코 3L,"12,800",sitem.ssgcdn.com/80/90/85/item/1000043859080_i1_232.jpg
[매장픽업] 봄을 알리는 프리미엄 와인,"117,000",sitem.ssgcdn.com/80/90/85/item/1000043859080_i2_232.jpg
[매장픽업]앙드레 끌루에 상파뉴 실버 브뤼,"49,500",sitem.ssgcdn.com/96/26/73/item/1000289732696_i1_232.jpg
[매장픽업] 빈도로 프리미티보 디 만두리아,"126,000",sitem.ssgcdn.com/49/94/85/item/1000043859449_i1_232.jpg
[매장픽업] 당장페이 브뤼,"108,000",sitem.ssgcdn.com/49/94/85/item/1000043859449_i2_232.jpg
[레드와인] 도스 코파스 레드,"4,900",sitem.ssgcdn.com/58/57/95/item/1000263955758_i1_232.jpg
[매장픽업]  샤또 생 미셸 인디언 웰스 메를로(레드와인),"81,000",sitem.ssgcdn.com/25/07/70/item/1000048700725_i1_232.jpg
[매장픽업] 셀리에 데 프린스 샤또네프뒤파프(레드와인),"99,000",sitem.ssgcdn.com/65/65/84/item/1000043846565_i1_232.jpg
"[매장픽업] 다우 30년 토니 포트 750ML (레드와인,포트와인)","270,000",sitem.ssgcdn.com/65/65/84/item/1000043846565_i2_232.jpg
[매장픽업] 오스본 포트 20년,"84,600",sitem.ssgcdn.com/92/85/64/item/1000289648592_i1_232.jpg
[매장픽업] 펜폴즈 쿠능가 힐 쉬라즈 까베르네,"63,000",sitem.ssgcdn.com/74/26/58/item/1000065582674_i1_232.jpg
[매장픽업]코노수르 토코르날 까베르네 소비뇽 (레드와인),"10,800",sitem.ssgcdn.com/63/80/45/item/1000063458063_i1_232.jpg
다이아몬드 레이크뷰 비달 아이스바인,"40,000",sitem.ssgcdn.com/46/93/00/item/1000051009346_i1_232.jpg
에고메이 알마,"70,200",sitem.ssgcdn.com/25/87/66/item/1000277668725_i1_232.jpg
마헨들 그뤼너 펠트리너 페더슈필,"27,000",sitem.ssgcdn.com/03/62/52/item/1000317526203_i1_232.jpg
[경기점 특가] 샤또 가쟁 2011,"153,000",sitem.ssgcdn.com/72/54/08/item/1000066085472_i1_232.jpg
샤또 글로리아 2013 (레드와인),"71,100",sitem.ssgcdn.com/72/54/08/item/1000066085472_i2_232.jpg
이기갈 따벨 로제,"26,100",sitem.ssgcdn.com/41/41/95/item/1000280954141_i1_232.jpg
샤또 랭쉬 바쥬 17,"279,000",sitem.ssgcdn.com/25/63/40/item/1000051406325_i1_232.jpg
[매장픽업] 마르셀 다이스 알자스 컴플렌테이션,"31,500",sitem.ssgcdn.com/98/50/53/item/1000317535098_i1_232.jpg
[매장픽업] 베린저 브로스 샤르도네,"67,500",sitem.ssgcdn.com/98/50/10/item/1000066105098_i1_232.jpg
[매장픽업] 제라르 베르트랑 그랑 떼루아르 또따벨 (레드와인),"27,000",sitem.ssgcdn.com/61/98/01/item/1000260019861_i1_232.jpg
